"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"LOTTO MAX EXTRA",1,"2009-09-25",6,14,51,90
"LOTTO MAX EXTRA",2,"2009-10-02",16,36,52,99
"LOTTO MAX EXTRA",3,"2009-10-09",2,3,13,80
"LOTTO MAX EXTRA",4,"2009-10-16",8,10,15,41
"LOTTO MAX EXTRA",5,"2009-10-23",9,53,79,93
"LOTTO MAX EXTRA",6,"2009-10-30",2,11,90,94
"LOTTO MAX EXTRA",7,"2009-11-06",9,23,79,82
"LOTTO MAX EXTRA",8,"2009-11-13",17,47,64,96
"LOTTO MAX EXTRA",9,"2009-11-20",16,18,71,74
"LOTTO MAX EXTRA",10,"2009-11-27",43,69,77,93
"LOTTO MAX EXTRA",11,"2009-12-04",37,60,65,83
"LOTTO MAX EXTRA",12,"2009-12-11",7,44,54,78
"LOTTO MAX EXTRA",13,"2009-12-18",25,55,85,95
"LOTTO MAX EXTRA",14,"2009-12-25",11,19,57,58
"LOTTO MAX EXTRA",15,"2010-01-01",53,61,86,89
"LOTTO MAX EXTRA",16,"2010-01-08",11,36,58,74
"LOTTO MAX EXTRA",17,"2010-01-15",16,40,41,87
"LOTTO MAX EXTRA",18,"2010-01-22",21,48,63,93
"LOTTO MAX EXTRA",19,"2010-01-29",11,40,45,77
"LOTTO MAX EXTRA",20,"2010-02-05",6,52,80,94
"LOTTO MAX EXTRA",21,"2010-02-12",72,74,82,92
"LOTTO MAX EXTRA",22,"2010-02-19",63,65,73,77
"LOTTO MAX EXTRA",23,"2010-02-26",31,39,42,46
"LOTTO MAX EXTRA",24,"2010-03-05",17,23,26,37
"LOTTO MAX EXTRA",25,"2010-03-12",14,24,82,97
"LOTTO MAX EXTRA",26,"2010-03-19",2,24,65,73
"LOTTO MAX EXTRA",27,"2010-03-26",1,9,40,68
"LOTTO MAX EXTRA",28,"2010-04-02",38,74,84,85
"LOTTO MAX EXTRA",29,"2010-04-09",30,50,55,76
"LOTTO MAX EXTRA",30,"2010-04-16",33,52,58,66
"LOTTO MAX EXTRA",31,"2010-04-23",2,55,64,85
"LOTTO MAX EXTRA",32,"2010-04-30",3,27,49,70
"LOTTO MAX EXTRA",33,"2010-05-07",19,30,37,59
"LOTTO MAX EXTRA",34,"2010-05-14",5,21,28,82
"LOTTO MAX EXTRA",35,"2010-05-21",4,50,52,71
"LOTTO MAX EXTRA",36,"2010-05-28",13,27,35,48
"LOTTO MAX EXTRA",37,"2010-06-04",7,31,75,91
"LOTTO MAX EXTRA",38,"2010-06-11",6,11,62,76
"LOTTO MAX EXTRA",39,"2010-06-18",11,12,59,87
"LOTTO MAX EXTRA",40,"2010-06-25",3,35,76,96
"LOTTO MAX EXTRA",41,"2010-07-02",34,84,85,89
"LOTTO MAX EXTRA",42,"2010-07-09",25,36,45,91
"LOTTO MAX EXTRA",43,"2010-07-16",10,41,77,97
"LOTTO MAX EXTRA",44,"2010-07-23",9,60,87,98
"LOTTO MAX EXTRA",45,"2010-07-30",39,75,86,93
"LOTTO MAX EXTRA",46,"2010-08-06",7,19,94,95
"LOTTO MAX EXTRA",47,"2010-08-13",3,13,43,82
"LOTTO MAX EXTRA",48,"2010-08-20",2,25,46,52
"LOTTO MAX EXTRA",49,"2010-08-27",4,12,23,95
"LOTTO MAX EXTRA",50,"2010-09-03",17,30,61,67
"LOTTO MAX EXTRA",51,"2010-09-10",1,4,43,63
"LOTTO MAX EXTRA",52,"2010-09-17",8,53,82,90
"LOTTO MAX EXTRA",53,"2010-09-24",42,53,60,84
"LOTTO MAX EXTRA",54,"2010-10-01",1,19,34,88
"LOTTO MAX EXTRA",55,"2010-10-08",10,20,29,47
"LOTTO MAX EXTRA",56,"2010-10-15",12,15,54,94
"LOTTO MAX EXTRA",57,"2010-10-22",37,73,81,96
"LOTTO MAX EXTRA",58,"2010-10-29",4,43,50,73
"LOTTO MAX EXTRA",59,"2010-11-05",15,18,30,48
"LOTTO MAX EXTRA",60,"2010-11-12",33,46,60,73
"LOTTO MAX EXTRA",61,"2010-11-19",29,39,60,94
"LOTTO MAX EXTRA",62,"2010-11-26",32,67,85,87
"LOTTO MAX EXTRA",63,"2010-12-03",41,45,79,99
"LOTTO MAX EXTRA",64,"2010-12-10",77,83,84,96
"LOTTO MAX EXTRA",65,"2010-12-17",3,11,21,23
"LOTTO MAX EXTRA",66,"2010-12-24",64,69,70,71
"LOTTO MAX EXTRA",67,"2010-12-31",33,42,71,80
"LOTTO MAX EXTRA",68,"2011-01-07",41,52,84,89
"LOTTO MAX EXTRA",69,"2011-01-14",14,38,73,86
"LOTTO MAX EXTRA",70,"2011-01-21",39,57,64,89
"LOTTO MAX EXTRA",71,"2011-01-28",36,79,81,98
"LOTTO MAX EXTRA",72,"2011-02-04",17,57,59,74
"LOTTO MAX EXTRA",73,"2011-02-11",44,66,80,91
"LOTTO MAX EXTRA",74,"2011-02-18",1,33,55,77
"LOTTO MAX EXTRA",75,"2011-02-25",12,48,54,93
"LOTTO MAX EXTRA",76,"2011-03-04",11,33,62,91
"LOTTO MAX EXTRA",77,"2011-03-11",15,34,49,92
"LOTTO MAX EXTRA",78,"2011-03-18",47,57,82,98
"LOTTO MAX EXTRA",79,"2011-03-25",7,22,24,60
"LOTTO MAX EXTRA",80,"2011-04-01",39,49,57,64
"LOTTO MAX EXTRA",81,"2011-04-08",13,38,43,62
"LOTTO MAX EXTRA",82,"2011-04-15",7,23,35,87
"LOTTO MAX EXTRA",83,"2011-04-22",24,61,62,83
"LOTTO MAX EXTRA",84,"2011-04-29",42,77,83,86
"LOTTO MAX EXTRA",85,"2011-05-06",20,22,53,71
"LOTTO MAX EXTRA",86,"2011-05-13",2,50,80,96
"LOTTO MAX EXTRA",87,"2011-05-20",7,9,11,44
"LOTTO MAX EXTRA",88,"2011-05-27",9,17,59,80
"LOTTO MAX EXTRA",89,"2011-06-03",20,40,44,97
"LOTTO MAX EXTRA",90,"2011-06-10",7,23,38,78
"LOTTO MAX EXTRA",91,"2011-06-17",32,35,36,37
"LOTTO MAX EXTRA",92,"2011-06-24",28,42,63,84
"LOTTO MAX EXTRA",93,"2011-07-01",8,22,70,79
"LOTTO MAX EXTRA",94,"2011-07-08",73,79,90,97
"LOTTO MAX EXTRA",95,"2011-07-15",6,71,86,90
"LOTTO MAX EXTRA",96,"2011-07-22",64,81,87,95
"LOTTO MAX EXTRA",97,"2011-07-29",10,46,77,80
"LOTTO MAX EXTRA",98,"2011-08-05",2,24,51,78
"LOTTO MAX EXTRA",99,"2011-08-12",1,58,66,86
"LOTTO MAX EXTRA",100,"2011-08-19",57,60,65,70
"LOTTO MAX EXTRA",101,"2011-08-26",11,31,85,86
"LOTTO MAX EXTRA",102,"2011-09-02",31,41,68,78
"LOTTO MAX EXTRA",103,"2011-09-09",28,29,30,98
"LOTTO MAX EXTRA",104,"2011-09-16",10,11,48,88
"LOTTO MAX EXTRA",105,"2011-09-23",2,31,63,84
"LOTTO MAX EXTRA",106,"2011-09-30",1,2,55,96
"LOTTO MAX EXTRA",107,"2011-10-07",7,15,18,32
"LOTTO MAX EXTRA",108,"2011-10-14",22,46,53,88
"LOTTO MAX EXTRA",109,"2011-10-21",12,27,39,83
"LOTTO MAX EXTRA",110,"2011-10-28",2,5,19,52
"LOTTO MAX EXTRA",111,"2011-11-04",7,14,29,70
