PRODUCT,DRAW NUMBER,DRAW DATE,BONUS MULTIPLIER,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,NUMBER DRAWN 8,NUMBER DRAWN 9,NUMBER DRAWN 10,NUMBER DRAWN 11,NUMBER DRAWN 12,NUMBER DRAWN 13,NUMBER DRAWN 14,NUMBER DRAWN 15,NUMBER DRAWN 16,NUMBER DRAWN 17,NUMBER DRAWN 18,NUMBER DRAWN 19,NUMBER DRAWN 20
KENO,1498609,07/01/2012 5:36,3,7,10,12,14,15,29,32,36,37,39,41,45,46,53,55,60,63,68,73,76
KENO,1498610,07/01/2012 5:40,3,5,6,8,11,15,16,21,25,27,28,34,45,46,54,55,57,58,66,69,71
KENO,1498611,07/01/2012 5:44,3,7,10,11,12,17,22,28,33,41,42,44,46,55,58,59,60,64,66,70,77
KENO,1498612,07/01/2012 5:48,1,2,9,10,15,17,18,21,24,31,41,42,44,45,52,53,55,59,63,77,78
KENO,1498613,07/01/2012 5:52,3,8,16,19,24,31,33,34,36,38,44,50,52,56,58,59,60,62,71,74,78
KENO,1498614,07/01/2012 5:56,1,9,10,12,18,21,22,29,33,37,44,46,47,50,55,57,59,72,74,77,78
KENO,1498615,07/01/2012 6:00,3,2,7,8,14,18,21,22,27,42,52,53,56,57,58,61,63,71,74,76,77
KENO,1498616,07/01/2012 6:04,1,4,5,7,9,14,15,19,20,21,25,28,34,40,41,46,53,62,64,73,78
KENO,1498617,07/01/2012 6:08,1,1,4,6,8,22,27,29,32,33,37,43,47,48,53,54,56,65,72,74,75
KENO,1498618,07/01/2012 6:12,1,6,10,12,15,21,22,25,34,38,42,43,51,52,55,59,60,63,64,70,74
KENO,1498619,07/01/2012 6:16,1,1,3,6,8,9,24,31,32,34,37,41,47,48,49,50,53,57,61,75,79
KENO,1498620,07/01/2012 6:20,1,3,8,9,14,15,20,26,37,43,49,52,53,55,57,59,61,64,65,70,75
KENO,1498621,07/01/2012 6:24,3,8,9,11,25,36,39,43,44,45,47,48,50,52,59,61,64,72,74,75,78
KENO,1498622,07/01/2012 6:28,1,3,6,8,22,25,34,35,37,41,43,46,49,51,55,59,70,71,72,75,77
KENO,1498623,07/01/2012 6:32,1,3,4,7,9,13,14,15,16,18,22,36,45,46,49,60,62,64,72,78,80
KENO,1498624,07/01/2012 6:36,3,11,12,22,23,24,29,34,38,39,44,46,48,50,52,53,59,68,70,73,78
KENO,1498625,07/01/2012 6:40,4,3,15,21,24,27,29,32,33,35,39,45,53,55,56,60,65,72,73,76,78
KENO,1498626,07/01/2012 6:44,4,2,8,9,13,18,21,26,27,28,32,36,38,42,48,49,50,56,57,68,76
KENO,1498627,07/01/2012 6:48,3,4,5,6,9,12,17,36,37,42,44,48,50,54,55,58,64,68,73,76,78
KENO,1498628,07/01/2012 6:52,3,3,5,7,9,17,24,25,33,40,42,46,49,50,52,55,64,65,69,76,77
KENO,1498629,07/01/2012 6:56,3,1,5,7,8,9,10,12,18,21,24,39,50,51,58,59,61,67,69,76,80
KENO,1498630,07/01/2012 7:00,1,7,8,9,11,15,18,21,23,39,40,43,47,51,56,57,58,70,76,77,78
KENO,1498631,07/01/2012 7:04,3,6,9,10,25,26,32,35,36,39,40,41,45,49,50,57,63,68,70,76,78
KENO,1498632,07/01/2012 7:08,1,2,4,7,10,15,16,18,19,21,24,26,27,29,34,47,49,50,53,63,80
KENO,1498633,07/01/2012 7:12,1,3,5,10,15,17,29,33,38,44,48,58,60,62,63,66,67,72,74,75,76
KENO,1498634,07/01/2012 7:16,1,4,11,17,18,21,24,32,34,36,41,43,49,51,53,57,58,69,73,77,79
KENO,1498635,07/01/2012 7:20,3,1,3,9,15,17,21,23,29,36,38,41,43,47,50,52,69,70,72,73,77
KENO,1498636,07/01/2012 7:24,1,4,7,9,12,14,15,18,26,31,34,44,47,53,55,60,64,71,75,78,79
KENO,1498637,07/01/2012 7:28,1,4,13,19,23,25,29,33,35,38,45,46,50,52,56,59,60,61,68,69,70
KENO,1498638,07/01/2012 7:32,3,1,4,14,28,32,42,49,51,54,56,58,59,61,65,68,69,72,77,79,80
KENO,1498639,07/01/2012 7:36,3,5,8,17,18,19,21,24,34,45,46,47,48,59,67,69,71,72,74,75,77
KENO,1498640,07/01/2012 7:40,1,1,3,10,13,16,23,24,25,29,30,31,40,42,43,50,54,65,67,73,77
KENO,1498641,07/01/2012 7:44,1,4,8,9,10,15,31,36,42,44,53,55,59,60,64,65,68,70,73,78,80
KENO,1498642,07/01/2012 7:48,1,2,8,13,14,17,20,21,25,30,31,33,38,50,54,55,60,61,62,77,79
KENO,1498643,07/01/2012 7:52,1,3,5,6,11,21,26,30,32,39,42,49,52,53,57,58,62,65,67,69,75
KENO,1498644,07/01/2012 7:56,1,1,2,7,12,18,19,26,27,30,31,40,42,52,56,58,59,61,64,67,71
KENO,1498645,07/01/2012 8:00,1,7,12,13,23,24,25,26,34,35,37,45,49,51,56,58,60,71,72,74,75
KENO,1498646,07/01/2012 8:04,3,2,4,7,12,26,28,29,31,34,36,37,38,40,46,52,57,61,64,72,79
KENO,1498647,07/01/2012 8:08,3,3,4,7,12,16,21,22,27,28,30,36,37,43,45,51,52,60,69,73,80
KENO,1498648,07/01/2012 8:12,3,5,6,12,15,17,24,32,35,37,38,45,49,57,64,65,66,70,74,75,78
KENO,1498649,07/01/2012 8:16,1,1,3,14,16,24,25,26,28,31,32,42,44,47,50,56,71,72,74,78,79
KENO,1498650,07/01/2012 8:20,1,3,6,10,12,16,17,24,25,31,37,39,44,46,50,54,56,58,66,70,75
KENO,1498651,07/01/2012 8:24,3,2,11,15,21,24,25,29,33,35,37,38,43,49,54,65,67,69,73,74,76
KENO,1498652,07/01/2012 8:28,1,10,14,17,24,25,27,40,41,43,44,45,51,53,66,67,71,73,74,77,78
KENO,1498653,07/01/2012 8:32,3,2,3,12,13,14,21,22,27,29,31,36,38,47,51,54,56,59,66,70,76
KENO,1498654,07/01/2012 8:36,3,16,17,18,22,24,26,29,30,39,42,47,49,50,52,66,68,69,71,75,76
KENO,1498655,07/01/2012 8:40,1,1,6,7,17,25,26,33,35,39,44,53,55,63,67,68,71,72,73,74,75
KENO,1498656,07/01/2012 8:44,1,2,6,15,17,21,30,34,36,38,46,49,52,53,54,55,64,65,71,72,78
KENO,1498657,07/01/2012 8:48,1,1,4,8,10,19,21,23,27,29,31,33,36,40,42,45,47,57,67,68,80
KENO,1498658,07/01/2012 8:52,1,3,10,11,12,14,33,38,41,42,46,51,53,58,59,65,68,71,72,74,78
KENO,1498659,07/01/2012 8:56,1,1,7,8,12,14,15,18,20,22,23,25,26,30,33,43,46,55,59,77,80
KENO,1498660,07/01/2012 9:00,1,1,7,13,15,18,35,36,38,41,45,48,50,54,58,61,62,65,66,71,74
KENO,1498661,07/01/2012 9:04,5,6,9,13,14,16,18,25,26,27,38,40,41,43,49,51,52,55,56,65,80
KENO,1498662,07/01/2012 9:08,1,3,9,12,15,17,19,27,31,35,43,51,53,56,59,63,65,67,72,73,75
KENO,1498663,07/01/2012 9:12,1,2,7,9,12,13,15,18,21,28,35,42,49,53,54,59,62,63,67,69,74
KENO,1498664,07/01/2012 9:16,3,7,8,11,12,17,19,21,23,26,33,40,48,49,57,61,64,67,72,77,78
KENO,1498665,07/01/2012 9:20,1,3,5,12,13,16,19,24,28,29,35,45,47,49,62,63,67,71,75,79,80
KENO,1498666,07/01/2012 9:24,1,2,4,7,8,13,24,32,33,44,46,51,54,55,58,67,68,74,75,77,80
KENO,1498667,07/01/2012 9:28,3,4,7,9,12,19,22,23,34,35,41,48,57,58,59,60,62,63,65,73,79
KENO,1498668,07/01/2012 9:32,1,3,4,6,8,13,14,20,22,26,30,44,53,57,58,63,68,69,70,76,80
KENO,1498669,07/01/2012 9:36,1,6,7,17,23,25,26,36,37,38,41,48,49,51,52,54,59,60,63,69,70
KENO,1498670,07/01/2012 9:40,3,4,5,6,16,28,29,36,37,38,45,54,57,59,63,66,72,74,75,76,77
KENO,1498671,07/01/2012 9:44,3,5,10,11,18,20,41,47,49,52,53,54,58,60,63,67,71,72,75,77,78
KENO,1498672,07/01/2012 9:48,1,9,10,17,19,23,27,33,34,35,36,40,50,55,56,60,71,72,74,75,76
KENO,1498673,07/01/2012 9:52,1,2,8,19,22,25,27,32,38,39,42,43,46,52,58,61,70,72,73,76,80
KENO,1498674,07/01/2012 9:56,3,6,8,9,10,13,14,18,30,37,40,43,45,51,56,57,62,63,69,71,74
KENO,1498675,07/01/2012 10:00,3,3,9,13,21,26,29,38,42,43,48,51,52,54,59,63,68,70,72,73,78
KENO,1498676,07/01/2012 10:04,1,10,12,16,17,20,21,29,34,38,39,47,53,55,57,59,61,65,75,76,79
KENO,1498677,07/01/2012 10:08,1,5,10,18,22,23,25,27,31,32,35,37,39,43,51,62,66,68,69,78,80
KENO,1498678,07/01/2012 10:12,1,4,9,15,18,19,20,29,42,50,52,53,56,57,62,64,65,67,68,75,80
KENO,1498679,07/01/2012 10:16,3,7,11,18,19,26,29,34,36,38,39,42,46,55,58,62,63,64,68,70,72
KENO,1498680,07/01/2012 10:20,1,2,5,7,8,15,17,21,26,34,37,38,46,49,50,59,61,69,70,76,80
KENO,1498681,07/01/2012 10:24,1,2,10,22,26,28,29,34,38,40,44,45,46,57,62,63,64,69,73,74,76
KENO,1498682,07/01/2012 10:28,3,14,18,22,24,26,30,32,40,41,42,43,52,57,61,62,64,65,75,78,80
KENO,1498683,07/01/2012 10:32,3,1,5,7,9,10,15,33,34,35,37,39,42,53,56,57,58,65,67,71,73
KENO,1498684,07/01/2012 10:36,1,3,11,13,22,25,26,34,37,38,41,44,45,48,52,58,61,65,70,74,80
KENO,1498685,07/01/2012 10:40,1,1,5,6,9,10,12,16,23,24,33,40,42,48,55,56,65,70,74,75,80
KENO,1498686,07/01/2012 10:44,3,3,6,12,15,19,21,23,30,32,33,42,43,45,49,58,59,74,78,79,80
KENO,1498687,07/01/2012 10:48,1,2,7,8,12,16,17,30,31,35,43,52,53,54,59,60,62,66,70,73,79
KENO,1498688,07/01/2012 10:52,1,1,3,7,8,9,21,28,32,36,40,42,49,51,54,55,56,63,69,70,76
KENO,1498689,07/01/2012 10:56,3,6,8,9,14,20,25,33,35,36,44,47,50,55,59,63,69,70,72,75,78
KENO,1498690,07/01/2012 11:00,1,2,6,8,14,16,25,26,27,28,31,32,35,47,48,53,63,64,70,71,72
KENO,1498691,07/01/2012 11:04,1,4,6,13,24,26,33,48,49,50,51,55,56,61,62,64,66,69,75,77,80
KENO,1498692,07/01/2012 11:08,1,2,3,6,17,22,23,26,30,32,35,36,38,39,47,48,53,62,63,67,76
KENO,1498693,07/01/2012 11:12,3,5,8,10,13,18,20,23,25,27,31,35,43,44,55,59,65,68,69,71,79
KENO,1498694,07/01/2012 11:16,3,5,6,13,17,18,19,22,23,24,26,27,28,30,37,51,55,58,59,67,78
KENO,1498695,07/01/2012 11:20,3,2,4,5,12,15,25,28,32,33,46,53,56,59,61,62,70,75,76,78,79
KENO,1498696,07/01/2012 11:24,1,1,4,7,9,11,13,20,24,25,28,29,30,45,50,55,59,64,69,71,76
KENO,1498697,07/01/2012 11:28,3,2,3,5,7,8,12,15,16,21,26,42,51,52,53,54,56,58,61,66,67
KENO,1498698,07/01/2012 11:32,3,1,6,7,8,9,10,15,16,19,23,31,34,41,45,46,49,55,61,73,78
KENO,1498699,07/01/2012 11:36,3,10,15,16,23,33,35,39,42,43,45,46,49,59,61,63,65,66,67,73,78
KENO,1498700,07/01/2012 11:40,3,3,5,8,22,28,29,36,41,47,48,51,53,55,61,64,65,68,72,75,80
KENO,1498701,07/01/2012 11:44,1,4,7,12,15,19,22,23,28,33,35,45,50,53,55,60,66,69,77,78,79
KENO,1498702,07/01/2012 11:48,1,5,6,12,15,25,32,33,35,41,45,48,49,52,54,59,63,65,66,71,73
KENO,1498703,07/01/2012 11:52,1,6,10,11,18,20,22,25,28,29,33,34,42,51,53,56,59,63,71,74,75
KENO,1498704,07/01/2012 11:56,4,1,4,5,12,13,15,19,30,37,39,45,49,50,52,54,57,58,64,67,79
KENO,1498705,07/01/2012 12:00,1,2,6,10,20,22,27,30,31,33,35,40,41,42,53,54,60,66,75,78,79
KENO,1498706,07/01/2012 12:04,1,1,6,13,15,17,18,20,26,30,34,49,50,52,54,55,56,67,69,75,76
KENO,1498707,07/01/2012 12:08,1,5,9,10,15,25,34,37,39,40,43,47,51,55,60,64,72,76,77,78,79
KENO,1498708,07/01/2012 12:12,3,3,7,12,14,15,17,19,24,29,32,34,35,51,52,59,61,62,66,70,80
KENO,1498709,07/01/2012 12:16,4,1,9,11,15,18,22,24,28,29,33,34,45,47,49,51,52,58,67,73,80
KENO,1498710,07/01/2012 12:20,5,1,4,5,8,17,23,25,26,27,38,49,54,58,59,60,62,64,70,72,77
KENO,1498711,07/01/2012 12:24,1,3,4,9,15,18,25,28,30,34,35,41,48,56,64,67,68,69,74,77,79
KENO,1498712,07/01/2012 12:28,3,4,5,11,15,17,20,32,34,36,41,42,43,54,55,64,72,73,74,75,78
KENO,1498713,07/01/2012 12:32,3,11,13,18,23,24,27,35,46,50,52,53,54,58,63,64,66,68,75,76,78
KENO,1498714,07/01/2012 12:36,1,11,15,16,20,23,25,27,28,29,33,34,35,42,46,50,51,55,58,70,77
KENO,1498715,07/01/2012 12:40,1,4,9,18,19,23,27,28,29,36,38,45,50,51,57,62,64,67,72,73,80
KENO,1498716,07/01/2012 12:44,4,2,5,6,12,14,17,27,29,31,39,40,42,44,45,57,61,68,69,71,72
KENO,1498717,07/01/2012 12:48,3,1,3,9,21,23,27,29,30,31,33,36,38,39,42,48,56,61,72,76,79
KENO,1498718,07/01/2012 12:52,1,2,7,8,10,21,22,30,36,37,39,43,46,48,49,60,61,62,66,70,79
KENO,1498719,07/01/2012 12:56,1,1,4,5,9,12,17,23,25,38,41,43,44,45,46,55,56,61,71,74,75
KENO,1498720,07/01/2012 13:00,3,9,10,12,19,22,24,28,29,38,41,46,50,52,58,59,61,63,64,75,78
KENO,1498721,07/01/2012 13:04,1,2,4,5,12,13,25,29,41,43,48,49,57,58,67,68,73,75,76,78,80
KENO,1498722,07/01/2012 13:08,3,1,2,7,8,13,14,19,20,31,37,39,42,48,55,56,57,59,62,73,76
KENO,1498723,07/01/2012 13:12,1,2,8,10,13,17,22,23,24,25,32,44,45,49,50,51,62,64,66,69,71
KENO,1498724,07/01/2012 13:16,3,2,7,8,10,13,23,30,33,39,46,47,52,53,54,55,61,65,71,74,79
KENO,1498725,07/01/2012 13:20,3,2,5,6,14,17,20,26,28,29,30,47,50,52,54,60,69,72,73,76,79
KENO,1498726,07/01/2012 13:24,1,1,4,6,17,20,22,31,34,37,39,46,47,57,61,65,67,73,75,76,78
KENO,1498727,07/01/2012 13:28,1,2,3,10,12,15,16,17,18,19,24,28,38,39,43,57,64,68,70,71,73
KENO,1498728,07/01/2012 13:32,3,4,7,13,18,25,29,33,35,38,40,43,49,56,59,62,69,72,75,79,80
KENO,1498729,07/01/2012 13:36,4,1,4,6,20,22,31,34,35,40,41,46,47,48,57,63,67,72,77,79,80
KENO,1498730,07/01/2012 13:40,3,1,4,5,11,16,18,19,20,21,34,39,46,53,54,57,65,69,75,78,79
KENO,1498731,07/01/2012 13:44,1,6,8,16,29,32,34,37,41,42,43,44,45,47,49,52,55,56,59,67,80
KENO,1498732,07/01/2012 13:48,1,1,2,11,14,20,22,25,32,34,35,38,39,49,53,56,67,74,75,76,78
KENO,1498733,07/01/2012 13:52,1,1,3,8,15,17,20,25,30,35,38,41,45,46,50,55,60,64,66,71,72
KENO,1498734,07/01/2012 13:56,1,1,7,13,22,24,25,31,34,37,41,45,52,54,60,61,62,64,69,70,72
KENO,1498735,07/01/2012 14:00,4,1,2,6,11,16,21,34,36,37,38,41,46,51,53,55,59,63,66,73,80
