id,category_id,categoryname,question,option1,option2,option3,option4,option5,pictures,answer,explanation,,
62,4,Pediatrics,"An 8 year old boy presents to the physician for a routine health maintenance visit. His mother states that he has had difficulty reading and concentrating in his second-grade class. On examination, seven caf̩-au-lait spots on his body, as well as two small, soft masses above his orbit, are seen. He also has axillary freckling. His mother also has caf̩-au-lait spots on her arms. Which of the following is the most likely diagnosis? ",Congenital hypothyroidism,Marfan syndrome,Neurofibromatosis,Osteogenesis imperfecta,Tuberous sclerosis,,3,"Neurofibromatosis is a multisystem genetic disorder. The features of this condition are more than six caf̩-au-lait spots, two or more neurofibromas, axillary freckling, optic gliomas, iris hamartomas (Lisch nodules), and osseous lesions. There is almost always a first-degree relative with neurofibromatosis. Congenital hypothyroidism is associated with poor feeding, an enlarged fontanelle, an enlarged tongue, and an umbilical hernia in the neonatal period. It would not go undetected until 8 years of age. Marfan syndrome is a connective tissue disorder characterized by long fingers, hypermobile joints, subluxation of the lenses, pectus carinatum, and aortic aneurysms. Osteogenesis imperfecta is a rare connective tissue disease characterized by recurrent fractures, blue sclera, thin skin, and hyperextensibility of ligaments. Tuberous sclerosis is associated with facial angiofibromas (adenoma sebaceum), retinal hamartomas, seizures, and mental retardation. Seizures are the most common presenting symptom. It is an autosomal-dominant inherited disease.",,
66,4,Pediatrics,The parents of a 10 month old boy presents with a history of excessive straining due when trying to have a bowel movement. On physical exam you clearly see he has developed a rectal prolapse. See picture of rectum protruding through child's anus:What is your next intervention? ,Surgical consult,Sweat chloride test,Stool studies,Reassurance,Prescribe a stool softener,q15.jpg,2,Rectal prolapse occurs in 20% of patients with cystic fibrosis who are aged 6 months to 3 years. The appropriate intervention at this point is to order a sweat chloride test to see if this child has cystic fibrosis.,,
67,4,Pediatrics,"A 9 year old boy is brought to the pediatric clinic by his mother, who noticed that the left side of his mouth has started to droop over the past several days. In addition, he is unable to close his left eye completely and complains of it burning. Review of systems reveals a cold approximately two weeks ago and recent decreased taste sensation. There is left eye ptosis and mild erythema of the left conjunctiva. His smile is asymmetrical on the left. Which of the following infections is most closely associated with this patient's condition?  ",Epstein-Barr Virus,Group A Streptococcus,Human Immunodeficiency Virus,Influenza,Measles,,1,"This patient has Bell palsy, a postinfectious allergic or immune demyelinating facial neuritis. Epstein-Barr virus is the preceding infection in approximately 20% of cases. 85% of patients have their symptoms resolve on their own over a period of several weeks. 10% retain mild facial weakness and 5% have permanent severe facial weakness. Therapeutic intervention should include daily and nocturnal eye lubricants to protect the cornea from drying. Group A Streptococcus, HIV, and influenza are not associated with Bell palsy. However, herpes simplex virus, Lyme disease caused by Borrelia burgdorferi and mumps have been associated with Bell palsy. Measles is associated with subacute sclerosing panencephalitis, a chronic encephalitis of the central nervous system manifested by progressively bizarre behavior and decline in cognitive function.",,
69,6,Surgery,A 17 year old white male presents with a concerning finding on the floor of his mouth. The rounded mass in seen under his tongue. It is not tender and is not fixed. See picture:What is the name of this finding? ,Ranula,Simple cyst,Cavity,Frenulum,,q22.jpg,1,"Ranulas present as a swelling of connective tissue consisting of collected mucin from a ruptured salivary gland duct, which is usually caused by local trauma. Ranulas are usually asymptomatic. Treatment of ranulas involves excision of the top of the lesion in a procedure known as marsupialization.",,
70,1,Medicine,A 56 year old female with past medical history of diabetes mellitus type 2 presents with a rash on the region of her axilla. See picture:This rash is known as what?,Malignant Melanoma,Hodgkin disease,Keratosis,Acanthosis Nigricans,,q32.jpg,4,"Acanthosis nigricans is most commonly caused by insulin resistance, usually from type 2 diabetes mellitus.Other causes are familial, obesity, drug-induced, malignant (gastric cancer), idiopathic, and Polycystic ovary syndrome. In the context of a malignant disease, Acanthosis nigricans is a paraneoplastic syndrome and is then commonly referred to as Acanthosis nigricans maligna. Acanthosis nigricans should make you suspicious for a malignancy.People with acanthosis nigricans should be screened for diabetes and, although rare, cancer. Controlling blood glucose levels through exercise and diet often improves symptoms.",,
71,5,Psychiatry,Psychic structure that relates desire to external environment is,ID,Ego,Superego,Self,Personality,,2,"In Sigmund Freud's psychoanalytic theory of personality, personality is composed of three elements known as the id, the ego, and the superego, that work together to create complex human behaviors. The &lsquo;id' is the only component of personality that is present from birth. This aspect of personality is entirely unconscious and includes of the instinctive and primitive behaviors. The &lsquo;ego' operates based on the reality principle, which strives to satisfy the id's desires in realistic and socially appropriate ways.The &lsquo;superego' is the aspect of personality that holds all of our internalized moral standards and ideals that we acquire from both parents and society, our sense of right and wrong.",,
72,1,Medicine,"In Cushing syndrome you find all, except:",Low BP,Obesity,Striation of skin,Trunk obesity,,,1,"Cushings syndrome is one of the secondary causes of hypertension. Therefore the blood pressure would be high. Along with Cushings, the other causes include Hyperaldosteronism, Aortic coarctation, Pheochromocytoma and Stenosis of renal artery. Remember the mnemonic C.H.A.P.S. for these 5 causes of secondary hypertension.",,
74,3,PMCH,If the threshold of a screening test is increased. How it will affect sensitivity and specificity? ,Sensitivity increase  specificity decrease,Sensitivity decrease and specificity increase,Both sensitivity and specificity increase,Both sensitivity and specificity decrease,,q71.jpg|q7b1.jpg,2,"In the classic model above. The definitions are as follows:Sensitivity = a/(a+c) which is the true positive rate. Meaning of all the people with the disease the portion that will actually test positive.Specificity = d/(b+d) which is the true negative rate. Meaning of all the people without the disease the portion that will actually test negative.A real world example will clearly explain that will happen if the threshold is increased. Say we are testing people for diabetes. We are using our current random blood sugar value of 200 and a threshold for a positive test. We test 40 people. See the model, where the black circles represent normal people and the red are those with diabetes. Then we test again using a threshold value of 250 for random blood sugar. Tables are as follows:                                     Sugar             200                                    Disease (+)                                    Disease (-)                                                    Test (+)                                    10                                    3                                                    Test (-)                                    0                                    27                                                    Totals                                    10                                    30                                                             Sugar             250                                    Disease (+)                                    Disease (-)                                                    Test (+)                                    3                                    1                                                    Test (-)                                    7                                    29                                                    Totals                                    10                                    30                        Calculations of the sensitivity and specificity clearly shows that when you increase the threshold the sensitivity will decrease and the specificity will increase.",,
75,6,Surgery,A 58 year old man presents to the ER with severe abdominal pain in his left lower quadrant. A plain film x-ray shows a sigmoid volvulus. What is the appropriate management? ,Sigmoidectomy,Decompression by sigmoidoscope,Hydrostatic barium enema,Antibiotics,,,2,"Decompression and untwisting of the sigmoid loop may be achieved by the passage of a sigmoidoscope per rectum. This procedure allows for rapid decompression of the distended colon, with the immediate relief of symptoms. Most patients are elderly persons, and they may be treated conservatively with this tube decompression. Surgery is reserved for patients in whom tube decompression fails to alleviate the patient's symptoms or for those in whom signs of ischemia are suggested.",,
76,5,Psychiatry,A nurse has been to the ER with repeated attacks of hypoglycemia. Her stories are inconsistent and she also wishes to be admitted each time. Further investigation reveals she has an increased serum insulin but low serum C-peptide. Appropriate management at this time would be ,Growth Hormone test,GTT (glucose tolerance test),Psychiatric assessment,B-HCG,CT of Pancreas,,3,"Insulin pushes glucose into the cells and high quantities of insulin can cause hypoglycemia and symptoms associated with it like sweating, intense hunger, trembling, weakness and palpitations. If the increased insulin in her body was endogenous then the C-Peptide would be high when tested. Insulinomas (tumors of the pancreas) can cause this.C-peptide is a by-product in insulin biosynthesis, produced at the same rate. So when insulin is high as a result of endogenous production, C-Peptide will be also. Since her C-Peptide level is low. This means her insulin has come from an exogenous source.Since she is a nurse and her stories are inconsistent she is likely injecting herself with insulin she has obtained at her job to fake symptoms. This now becomes a psychiatric/social issue and warrants a psychiatric assessment via consult.",,
